n,collision_rate,pattern,height,avg_depth,balance_height,balance_size
100000,0.1,random,38,19,0.527778,0.569231
100000,0.1,random,43,20,0.418919,0.318584
100000,0.1,random,40,19,0.526316,0.51049
100000,0.1,random,39,19,0.513158,0.5
100000,0.1,random,40,20,0.493671,0.492958
100000,0.1,random,38,19,0.472222,0.478571
100000,0.1,random,39,19,0.527027,0.521429
100000,0.1,random,41,20,0.467532,0.471831
100000,0.1,random,40,20,0.487179,0.503759
100000,0.1,random,41,20,0.61194,0.627119
100000,0.1,random,37,20,0.5,0.520325
100000,0.1,random,41,20,0.38806,0.378151
100000,0.1,random,40,21,0.634921,0.634783
100000,0.1,random,37,19,0.521127,0.521739
100000,0.1,random,38,19,0.486486,0.444444
100000,0.1,random,40,20,0.42029,0.384615
100000,0.1,random,38,20,0.472222,0.421488
100000,0.1,random,40,19,0.512821,0.471014
100000,0.1,random,40,21,0.393939,0.377049
100000,0.1,random,39,19,0.465753,0.437037
100000,0.1,random,36,19,0.514286,0.507463
100000,0.1,random,40,19,0.493671,0.510949
100000,0.1,random,42,19,0.545455,0.535211
100000,0.1,random,42,19,0.538462,0.44
100000,0,ascending,39,20,0.426471,0.416
100000,0,ascending,40,21,0.555556,0.546154
100000,0,ascending,42,20,0.525,0.525547
100000,0,ascending,42,21,0.322581,0.339286
100000,0,ascending,40,20,0.487179,0.489051
100000,0,ascending,37,19,0.486111,0.442748
100000,0,ascending,39,19,0.534247,0.531746
100000,0,ascending,39,20,0.527027,0.528571
100000,0,ascending,38,20,0.5,0.492857
100000,0,ascending,43,19,0.448718,0.450704
100000,0,ascending,41,20,0.378788,0.377953
100000,0,ascending,40,19,0.493671,0.445255
100000,0,ascending,36,19,0.514286,0.518248
100000,0,ascending,38,19,0.479452,0.478873
100000,0,ascending,39,20,0.434783,0.375
100000,0,ascending,40,20,0.444444,0.465649
100000,0,ascending,37,19,0.478873,0.478261
100000,0,ascending,35,19,0.5,0.534884
100000,0,ascending,40,20,0.444444,0.419118
100000,0,ascending,37,19,0.5,0.477612
100000,0,ascending,36,19,0.5,0.47619
100000,0,ascending,41,21,0.33871,0.347458
100000,0,ascending,43,20,0.441558,0.528
100000,0,ascending,39,20,0.465753,0.533333
100000,0,ascending,40,20,0.526316,0.5
100000,0,ascending,41,19,0.422535,0.410853
100000,0,ascending,38,20,0.513514,0.535433
100000,0,ascending,38,19,0.486486,0.470588
100000,0,ascending,41,20,0.546667,0.534884
100000,0,ascending,38,19,0.486486,0.470588
100000,0,ascending,40,19,0.57971,0.587786
100000,0,ascending,38,19,0.506667,0.536232
100000,0,ascending,40,20,0.466667,0.504348
100000,0,ascending,39,19,0.450704,0.458647
100000,0,ascending,41,20,0.445946,0.466667
100000,0,ascending,40,20,0.512821,0.496403
100000,0,ascending,40,20,0.43662,0.41129
100000,0,ascending,39,21,0.465753,0.435484
100000,0,ascending,36,19,0.492958,0.488889
100000,0,ascending,39,21,0.380952,0.37069
100000,0,ascending,36,19,0.470588,0.465116
100000,0,ascending,37,20,0.521127,0.5
100000,0,ascending,43,20,0.589041,0.586466
100000,0,ascending,40,20,0.444444,0.40708
100000,0,ascending,43,20,0.376812,0.406504
100000,0,ascending,40,19,0.571429,0.560606
100000,0,ascending,42,20,0.475,0.438849
100000,0,ascending,42,20,0.487805,0.447761
100000,0,ascending,40,19,0.533333,0.524823
100000,0,ascending,40,19,0.452055,0.453237
100000,0.01,ascending,50,24,0.324324,0.338583
100000,0.01,ascending,58,24,0.591837,0.554913
100000,0.01,ascending,56,24,0.377778,0.386905
100000,0.01,ascending,50,25,0.375,0.391892
100000,0.01,ascending,55,24,0.421053,0.416667
100000,0.01,ascending,77,30,0.330435,0.341176
100000,0.01,ascending,85,35,0.351145,0.354286
100000,0.01,ascending,66,27,0.282609,0.292517
100000,0.01,ascending,73,29,0.223404,0.230303
100000,0.01,ascending,53,24,0.56383,0.534591
100000,0.01,ascending,54,25,0.333333,0.335766
100000,0.01,ascending,73,34,0.536765,0.569767
100000,0.01,ascending,55,24,0.585106,0.582734
100000,0.01,ascending,50,23,0.444444,0.576923
100000,0.01,ascending,51,24,0.474227,0.4375
100000,0.01,ascending,76,32,0.232323,0.192308
100000,0.01,ascending,56,26,0.636364,0.598639
100000,0.01,ascending,44,23,0.435897,0.421875
100000,0.01,ascending,73,31,0.262626,0.322581
100000,0.01,ascending,77,36,0.3,0.269036
100000,0.01,ascending,59,23,0.41,0.417722
100000,0.01,ascending,53,24,0.423913,0.446667
100000,0.01,ascending,60,27,0.310345,0.352518
100000,0.01,ascending,61,26,0.282353,0.330769
100000,0.01,ascending,55,27,0.276316,0.315789
100000,0.01,ascending,53,24,0.369048,0.408163
100000,0.01,ascending,56,25,0.533333,0.550296
100000,0.01,ascending,57,26,0.4,0.475524
100000,0.01,ascending,53,23,0.535354,0.496855
100000,0.01,ascending,53,24,0.569892,0.549669
100000,0.01,ascending,52,24,0.590909,0.558621
100000,0.01,ascending,52,23,0.571429,0.570621
100000,0.01,ascending,47,23,0.397436,0.366197
100000,0.01,ascending,49,25,0.3875,0.321429
100000,0.01,ascending,56,27,0.325301,0.333333
100000,0.01,ascending,47,22,0.447059,0.429448
100000,0.01,ascending,48,22,0.460674,0.531034
100000,0.01,ascending,47,21,0.477778,0.459459
100000,0.01,ascending,52,25,0.469388,0.552147
100000,0.01,ascending,52,26,0.306667,0.333333
100000,0.01,ascending,63,27,0.642857,0.662069
100000,0.01,ascending,69,28,0.342857,0.36747
100000,0.01,ascending,64,28,0.0447761,0.0291262
100000,0.01,ascending,47,22,0.5,0.51634
100000,0.01,ascending,46,23,0.386667,0.365854
100000,0.01,ascending,54,22,0.349398,0.349315
100000,0.01,ascending,74,27,0.672727,0.604938
100000,0.01,ascending,54,26,0.307692,0.365079
